,Número de registro,Título,Autor,Data de produção,Dimensões,Material/Técnica,Classificação,Resumo descritivo,Condições de reprodução,Local de produção,ACERVO,URL,TAINACAN_COLECTION_ID
6,C.0204.0075,Cristo crucificado,,,"Cruz: a 96,5 x l 46 | Cristo: a 24 x 39 | Cartela: a 7,5 x l 4,8 | Base: a 41 x l 22 x p 15",Madeira,02 Artes Visuais/Cinematográfica > 02.3 Escultura,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
7,C.0904.0076,,,,a 75 x d 8,Latão,09 Objetos Cerimoniais > 09.3 Objeto de Culto,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
8,C.0501.0077,,,,a 27 x d 8,Opalina,05 Interiores > 05.1 Acessório de Interiores,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
9,C.0501.0078,,,,"a 36 x d 16,5",Porcelana,05 Interiores > 05.1 Acessório de Interiores,Jarra decorada,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
10,C.0501.0079,,,,"a 27 x d 10,5",Porcelana,05 Interiores > 05.1 Acessório de Interiores,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
11,C.0505.0080,,,,a 90,Madeira,05 Interiores > 05.5 Peça de Mobiliário,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
12,C.0505.0082,,,,"Fechado: c 45 x a 29,5 | Aberto: a 30 x l 29,5 x p 33",Madeira jacarandá,05 Interiores > 05.5 Peça de Mobiliário,,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
13,C.0403.0083,,,,a 200 x l 120 x p 9 | l 60 (cada folha),Madeira,04 Construção > 04.4 Fragmento de Construção,Porta almofadada em duas folhas,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
14,C.0403.0084,,,,"Folha de janela: a 164 x l 52 x p 4,5 | Postigo: a 92 x l 33 x p 4,5",Madeira,04 Construção > 04.4 Fragmento de Construção,Folha de janela com postigo,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
15,C.0404.0085,,,,a 85 x l 102 x p 4,Madeira,04 Construção > 04.4 Fragmento de Construção,Tramo de grade de balaustre,,,museudeartereligiosaetradicional_-_acervo-museologico,https://museudeartereligiosaetradicional.acervos.museus.gov.br/wp-json/tainacan/v2/collection/878/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,878
