,Classificação,Denominação,Título,Autor,Local de produção,Data de produção,Material/Técnica,Dimensões,Estado de conservação,Resumo descritivo,Mídias relacionadas,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
47,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “Mergulho”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 12,4 x 15,8 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
48,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 7,9 x 23,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
49,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 14,7 x 16,3 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
50,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 9,0 x 25,1 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
51,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 11,3 x 15,6 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
52,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 12,7 x 15,9 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
53,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2003,Nanquim sobre papel,"Obra: 11,7 x 20,7 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
54,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2004,Nanquim sobre papel,"Obra: 11,9 x 19,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
55,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2004,Nanquim sobre papel,"Obra: 13,5 x 14,0 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
56,02 Artes Visuais/Cinematográfica > 02.2 Desenho,Desenho,"Sem título, da série “O homem permanecido”",Luiz Rodolfo Annes,Brasil,2004,Nanquim sobre papel,"Obra: 14,1 x 17,1 cm",Bom,,,,museuvictormeirelles_-_mvm-acervo,https://museuvictormeirelles.acervos.museus.gov.br/wp-json/tainacan/v2/collection/18004/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,18004
