,Número de registro,Denominação,Título,Autor,Classificação,Dimensões - altura,Resumo descritivo,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
58,MCHA.0756,Pano de bandeja,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"15,5","25,0",,Linha (crochê) | Tecido,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
59,MCHA.0757,Pano (para treino de bordadura),,,05 Interiores > 05.1 Acessório de Interiores,,,"9,0","14,5",,Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
60,MCHA.0758,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"39,0","47,0",,Renda | Tecido de algodão,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
61,MCHA.0759,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"26,5","42,0",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
62,MCHA.0760,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"23,0","37,0",,Renda | Tecido de algodão,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
63,MCHA.0761,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"21,0","35,0",,Crochê | Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
64,MCHA.0762,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"27,0","34,0",,Crochê | Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
65,MCHA.0763,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"26,0","35,5",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
66,MCHA.0764,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"37,0","40,0",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
67,MCHA.0765,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"59,0","56,0",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
68,MCHA.0766,Fronha,,,05 Interiores > 05.1 Acessório de Interiores,,,"59,5","56,0",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
69,MCHA.0767,Saco (para guarda de pão),,,15 Embalagens/Recipientes,,,"27,0","47,0",,Linha de algodão (crochê),,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
70,MCHA.0768,Acessório têxtil (fragmento),,,05 Interiores > 05.1 Acessório de Interiores,,,"12,5","13,0",,Tecido de algodão com bordado,,[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
71,MCHA.0769,Abafador de bule,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"37,0","30,0",,Tecido de algodão com renda,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
72,MCHA.0770,Abafador de bule,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"29,0","25,5",,Metal | Tecido de algodão com bordado,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
73,MCHA.0771,Abafador de bule,,,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,,,"43,5","31,0",,Metal | Tecido de algodão,"Maranhão, Brasil",[s.d.],,museucasahistoricadealcantara_-_objetos,https://museucasahistoricadealcantara.acervos.museus.gov.br/wp-json/tainacan/v2/collection/14284/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,14284
